author_did,has_mentions_in_bio,has_mentions_in_first_post,has_url_in_bio,has_url_in_first_post
did:plc:2g2fxcjjlbr56ox3gxolvzc5,False,False,False,False
did:plc:2g2h7zq2xjzl7eys24qjo57k,False,False,False,False
did:plc:2g2pqg6iicibsstev575zj54,False,False,False,False
did:plc:2g3jgo4oowyxot4dez24x42x,False,False,False,False
did:plc:2g4y7zwkqqoaqcs2zfxhjbot,False,False,False,False
did:plc:2g576xeadd3fsdopipd26qh4,False,False,False,False
did:plc:2g6cb64m4zsrmdfrssy5j3sf,False,False,False,False
did:plc:2g6hbauafr272cetrxqgeerz,False,False,False,False
did:plc:2g7efshzig6qn7dygnsmmdf5,False,False,False,False
did:plc:2gcfkagyjvksffixs7szsqvy,False,False,False,False
did:plc:2gezx4rrpicyee3hzaxkztda,False,False,False,False
did:plc:2gimdxoecefjfsqlniusfhmb,False,False,False,False
did:plc:2giokifjr2kjspqljlqynbmw,False,False,False,False
did:plc:2giyw4t2wilaobkdjxlc6qzs,True,False,False,False
did:plc:2gj3kgsgce5q7gosv6h4fv2g,True,False,False,False
did:plc:2gjz7pjeoieszmblys4dgeor,False,False,False,False
did:plc:2gk2apauyynwvt4q4wrx6tle,False,False,False,False
did:plc:2gk2de7pakjnrjbkimfch2ef,False,False,False,False
did:plc:2glkmhm2st75ycuyje3qn7rc,False,True,False,False
did:plc:2gmekvqxsemxn4sm52raxyvo,False,True,False,False
did:plc:2gmy4pgtej3owcaoc4qiqcee,True,True,False,False
did:plc:2gmyj2emxfhy7lxdq27qfkft,True,False,False,False
did:plc:2gqertvt5cqveu44nymqut63,False,False,False,False
did:plc:2gqgrpzunptm3t4qcj5yagni,False,False,False,False
did:plc:2grz6gj7slqr7h4qlaqmcwby,False,False,False,False
did:plc:2gs2ktcxfdfohw6glpx6wzf2,False,False,False,False
did:plc:2gunnwk3uczoxbka33tbltsb,False,False,False,False
did:plc:2gv6z2dl2dldb25gbuv46dlp,False,False,False,False
did:plc:2gvblivfkmatsj64725dg3ls,True,False,False,False
did:plc:2gwrikgzlqdqwc2hstjchynq,False,False,False,False
did:plc:2gydsbfiv5b4xbsrsbhbured,False,False,False,False
did:plc:2gzezy5mxkkl4djrrwvt5kft,True,False,False,False
did:plc:2gzpgojlox34ch5exdepkksr,False,False,False,False
did:plc:2gzyygkg5jmlrf2mxo6vh6km,False,False,False,False
did:plc:2h2nos5pycoar7j5plx4vzjt,False,False,False,False
did:plc:2h5ge7mer2v43bq7rruynvju,False,False,False,False
did:plc:2h6fyk52bkbq7hz67mlrj75m,False,False,False,False
did:plc:2h6lpepjmqps65ip7rzm2vas,False,False,False,False
did:plc:2h6rfhjewwkdvpxa3ypoioo7,False,False,False,False
did:plc:2h7m2pmlm4foweae4sdxrkmo,False,True,False,False
did:plc:2hd3nx4ejm7x6sxq47dlhwf7,False,False,False,False
did:plc:2hfxuqyxv4noabgtgfgnpred,False,False,False,False
did:plc:2hgn5o5i356zgg4avdh7bn24,,False,,False
did:plc:2hhf5437br3e4sta2cdoestc,True,False,False,False
did:plc:2hhjzwzaqvq6gpsbpuoxxqbz,True,False,False,False
did:plc:2hkfuzozhum7coylnud4lezu,False,True,False,False
