author_did,kmeans_cluster,dbscan_cluster
did:plc:2gcfkagyjvksffixs7szsqvy,0,0
did:plc:2gezx4rrpicyee3hzaxkztda,0,0
did:plc:2gimdxoecefjfsqlniusfhmb,0,-1
did:plc:2giokifjr2kjspqljlqynbmw,0,0
did:plc:2giyw4t2wilaobkdjxlc6qzs,0,0
did:plc:2gj3kgsgce5q7gosv6h4fv2g,0,0
did:plc:2gjz7pjeoieszmblys4dgeor,0,0
did:plc:2gk2apauyynwvt4q4wrx6tle,0,0
did:plc:2gk2de7pakjnrjbkimfch2ef,0,0
did:plc:2glkmhm2st75ycuyje3qn7rc,0,0
did:plc:2gmekvqxsemxn4sm52raxyvo,0,0
did:plc:2gmy4pgtej3owcaoc4qiqcee,0,0
did:plc:2gmyj2emxfhy7lxdq27qfkft,0,0
did:plc:2gqertvt5cqveu44nymqut63,0,0
did:plc:2gqgrpzunptm3t4qcj5yagni,0,0
did:plc:2grz6gj7slqr7h4qlaqmcwby,0,0
did:plc:2gs2ktcxfdfohw6glpx6wzf2,0,0
did:plc:2gunnwk3uczoxbka33tbltsb,0,0
did:plc:2gv6z2dl2dldb25gbuv46dlp,0,0
did:plc:2gvblivfkmatsj64725dg3ls,0,0
did:plc:2gwrikgzlqdqwc2hstjchynq,0,0
did:plc:2gydsbfiv5b4xbsrsbhbured,0,0
did:plc:2gzezy5mxkkl4djrrwvt5kft,0,0
did:plc:2gzpgojlox34ch5exdepkksr,0,0
did:plc:2gzyygkg5jmlrf2mxo6vh6km,0,0
did:plc:2h2nos5pycoar7j5plx4vzjt,0,0
did:plc:2h5ge7mer2v43bq7rruynvju,0,0
did:plc:2h6fyk52bkbq7hz67mlrj75m,0,0
did:plc:2h6lpepjmqps65ip7rzm2vas,0,0
did:plc:2h6rfhjewwkdvpxa3ypoioo7,0,0
did:plc:2h7m2pmlm4foweae4sdxrkmo,0,0
did:plc:2hd3nx4ejm7x6sxq47dlhwf7,0,0
did:plc:2hfxuqyxv4noabgtgfgnpred,0,0
did:plc:2hgn5o5i356zgg4avdh7bn24,0,0
did:plc:2hhf5437br3e4sta2cdoestc,0,0
did:plc:2hhjzwzaqvq6gpsbpuoxxqbz,0,0
did:plc:2hkfuzozhum7coylnud4lezu,0,0
did:plc:2hkt6ua3hmifz2khqrjxjzv5,0,0
did:plc:2hkulee7ycfpwsoq3oww46m6,0,0
did:plc:2hmw5yj5uqh47oc26x73tipb,0,0
did:plc:2hnlzrfgz4lahttqg7fmo5pg,0,0
